,Product Manager,Business Analyst,Data Scientist,Database Administrator
691,0.16,0.675,0.06,0.105
692,0.015,0.945,0.025,0.015
693,0.05,0.775,0.125,0.05
694,0.04,0.855,0.025,0.08
695,0.08,0.795,0.025,0.1
696,0.105,0.81,0.025,0.06
697,0.025,0.965,0.01,0.0
698,0.07,0.86,0.02,0.05
699,0.04,0.84,0.045,0.075
700,0.055,0.855,0.07,0.02
701,0.175,0.665,0.095,0.065
702,0.055,0.895,0.015,0.035
703,0.065,0.875,0.015,0.045
704,0.07,0.89,0.02,0.02
705,0.89,0.075,0.01,0.025
706,0.52,0.42,0.05,0.01
707,0.94,0.025,0.03,0.005
708,0.69,0.215,0.06,0.035
709,0.675,0.17,0.08,0.075
710,0.815,0.05,0.1,0.035
711,0.875,0.02,0.075,0.03
712,0.89,0.015,0.03,0.065
713,0.0,0.055,0.015,0.93
714,0.005,0.04,0.01,0.945
715,0.01,0.045,0.02,0.925
716,0.095,0.745,0.03,0.13
717,0.08,0.805,0.005,0.11
718,0.09,0.775,0.02,0.115
719,0.015,0.98,0.005,0.0
720,0.035,0.905,0.02,0.04
721,0.105,0.795,0.025,0.075
722,0.035,0.915,0.015,0.035
723,0.055,0.875,0.05,0.02
724,0.025,0.895,0.06,0.02
725,0.075,0.875,0.01,0.04
726,0.045,0.895,0.025,0.035
727,0.035,0.92,0.015,0.03
728,0.05,0.91,0.02,0.02
729,0.005,0.21,0.5,0.285
730,0.06,0.77,0.145,0.025
731,0.005,0.015,0.98,0.0
732,0.16,0.05,0.785,0.005
733,0.025,0.03,0.92,0.025
734,0.16,0.05,0.785,0.005
735,0.185,0.04,0.69,0.085
736,0.155,0.23,0.535,0.08
737,0.07,0.125,0.745,0.06
738,0.91,0.06,0.015,0.015
739,0.76,0.12,0.095,0.025
740,0.93,0.035,0.025,0.01
741,0.89,0.09,0.01,0.01
742,0.925,0.06,0.005,0.01
743,0.955,0.035,0.01,0.0
744,0.735,0.165,0.045,0.055
745,0.97,0.02,0.01,0.0
746,0.845,0.12,0.02,0.015
747,0.65,0.275,0.01,0.065
748,0.895,0.065,0.025,0.015
749,0.87,0.07,0.055,0.005
750,0.91,0.05,0.03,0.01
751,0.775,0.095,0.12,0.01
752,0.945,0.02,0.025,0.01
753,0.99,0.0,0.005,0.005
754,0.895,0.085,0.005,0.015
755,0.24,0.32,0.06,0.38
756,0.015,0.045,0.005,0.935
757,0.05,0.055,0.015,0.88
758,0.03,0.025,0.045,0.9
759,0.025,0.03,0.01,0.935
760,0.015,0.065,0.04,0.88
761,0.135,0.26,0.255,0.35
762,0.045,0.085,0.005,0.865
763,0.05,0.145,0.085,0.72
764,0.035,0.895,0.015,0.055
